Customer Name,Review Head,Review,Date,Airport Names,Ratings(10)
A Zanier,a good impression,i visited one of the lounges at t5 and diversified acoording to your frequent flyer tierstatus a good impression for the gallery lounge for club europe travellers in t5 south: plenty of seats different views of the outside full range of soft drinks and alcoholic ones as well light meals soups sandwiches cakes are also provided but i did not taste them toilets ok overall cleanliness of common spaces can nevertheless be improved,12th December 2015,London Heathrow Airport,7
P Beet,lounge is very comfortable,used this lounge for the first time before a flight to singapore this lounge is very comfortable with subdued decoration it was not crowded and with excellent service we used the restaurant and had an very good light meal we also wondered over to the first class lounge we have used before and this was very different in character it was large and more crowded with buffet food so we went back to the concorde lounge and asked reception why they had two lounges and she explained that ours was for exclusive use of first class passengers whilst the first class lounge was in reality just a frequent flyer facility confusing or what nothing too flash about the concorde room just a relaxing place to prepare for you flight,26th November 2015,London Heathrow Airport,10
Assis Pontes,ideal place to recharge,shower facilities top notch good selection of snacks and food the lounge is spacious and offers various zones for sitting used the lounge before the peak hour though staffed by one person only the staff person was very capable decor and atmosphere are great an ideal place to recharge before next flight,21st November 2015,Washington Dulles Airport,8
Cammy King,worse than the old one,i think the new lounge is actually worse than the old one except its nearer to gates the bar is dreadful  beer selection is awful  no domestic brandsbottles at all plus you need to ask for anything its not self service  that includes all drinks a bit like detention with the principal watching bar staff miserable  perhaps not treated very well i suspect qantas sponsored lounge i actually left and got a beer id heard of and liked across the corridor outside  sad to have to do  a few other passengers had previously mentioned this to us but said you need to see it copy t5s example food ok at least there was hot food with butter chicken although not chicken breast no other hot meat dishes,16th November 2015,Los Angeles LAX Airport,3
David Ellis,a huge improvement,the new british airways businessfirst lounge at cape town is a huge improvement on the cramped lounge that used to be shared with virgin atlantic although theres plenty of space the seats got used up once passengers from two flights had arrived catering is a little limited and included two hot options and various deli offerings including packaged cheese portions drink flowed freely and included champagne staff were efficient at clearing away,15th November 2015,Cape Town Airport,8
Cammy King,absolutely shocking,we arrived mid morning on a saturday hungry and looking forward to some hot and cold selections that we have come to regularly enjoy at ba lounges who we choose to sleep on and skip breakfast on the flight thats where it ends a total disgrac  no food at all never mind hot selections all breakfasts are cleared apparently by 930am with no eggs bacon sausages etc available  even on request the place was packed as expected and we were not alone in this feeling we are terribly disappointed toast stodgy porridge or croissants thats your lot until midday  when we had to leave to get connecting flight absolutely shocking after what we paid,15th November 2015,London Heathrow Airport,2
Nicholas Ware,a ghastly experience,british airways t5 galleries south lounge at heathrow was a ghastly experience and the lounge was rather crowded around lunchtime far too few staff and any empty tables littered with used plates and glasses with far two few staff clearing up empty cutlery containers at the buffet and many dishes with no food had not been replenished subsequently went to the lounge at the b gates which was emptier and a more pleasant experience when checking into galleries south why did the staff not redirect us to the lounge at the b gates,3rd November 2015,London Heathrow Airport,2
M Edwards,a very poor experience,first visit to the new british airways lounge in singapore t1 bad start i am travelling first class and was looking forward to an exceptional experience in the concorde room except im not i walked in and there is only one chair type sitting area available so i went to sit down to be informed abruptly that i couldnt sit there as it was reserved who for i inquired to be told a vip yes i said thats me a first class passenger paying for the privilege no that didnt wash so i tried the main lounge absolutely full to the brim seems someone has underestimated the footfall needed in changi so all in all no points for a very poor experience,23rd October 2015,Singapore Changi Airport,1
T Uren,most disgusting place,the british airways lounge at t5 south heathrow airport was most disgusting place i have ever been in the cloth covered seats were threadbare filthy with stains all over them where we first sat it was beside the coffee  tea  hot chocolate dispensers we had to move from there because of the broken webbing in the seats we moved to near the tv room very hard to find a clean seat or an area where there were no dirty dishes leftover food and crumbs on the floor it took a staff member 50 minutes to remove the used dishes i don’t know how long they were there before we arrived; they removed the dishes and wiped all the crumbs on to the floor  it was only about 9pm that i saw a staff member with a vacuum cleaner i think that was because it was due to close up for the night soon; i would have been willing to pay the 30 pounds for access to one of the privately owned lounges we have used before,20th October 2015,London Heathrow Airport,1
C Koo,tables and floor so dirty,went to the british airways terminal 5 galleries south lounge in the morning around 0800hrs it was so crowded and hardly found a seat eventually found one and the chair tables and floor were so dirty food choices are limited and refilled slow the knives and forks were terribly dirty there was a separate bar table for alcohol,16th October 2015,London Heathrow Airport,3
Tim Pinkstone,food reduced dramatically,not sure what has happened in the time since i last visited this british airways lounge at terminal 5 heathrow july 2015 as the choice and quality of food on offer appears to have been reduced dramatically given that it was hardly generous in the first place this is somewhat surprising a small choice of fruit vegetables and yoghurts appear to have been removed entirely and the only food available were some tired sandwiches disappointing,13th October 2015,London Heathrow Airport,5
Alan Wan,place is filthy with crumbs,used this british airways aena miro lounge at barcelona airport every year for the past three years it is quite smart looking and has comfortable seating i am currently sitting here and must say the soft product has gone downhill i enquired about a shower  it i didnt have a towel and would cost €10 for the pack the food choice is very limited crisps a few filled rolls they used to have cava but not today the coffee is broken and the place is filthy with crumbs and uncleared tables,28th September 2015,Barcelona Airport,4
B Holmes,first class lounge didn't have champagne,what is british airways playing at they seem lost with no identity simple things like the toilets americans have this ghastly habbit of putting cracks down the sides of toilet doors so you have no privacy british airways would build british style toilets with total privacy but this is gone the first class lounge didnt have champagne  no champagne in the lounge on a £6000 flight are you kidding me the wifi didnt work the power ports next to the seating area didnt work the food was awful,20th September 2015,Boston Logan Airport,1
B Holmes,"furniture is worn, their isn't much seating",the concorde room is supposed to be the top tier lounge from british airways at both heathrow terminal 5 and jfk  whilst the concorde room is one of the nicer lounges ive been in its certainly not a patch on virgin or cathay pacific lounges at terminal 3 the furniture is worn there isnt much seating at busy times and getting some table service in the lounge area can take ages british airways seems to have lost its first crown and doesnt seem interested in getting it back,20th September 2015,London Heathrow Airport,4
Gareth Bronkhorst,lounge is more premium economy than first,i am a frequent visitor to the british airways first class lounge at lhr terminal 5 in comparison with other lounges to the likes of the pier in hong kong and the qatar airways lounge in doha this british airways lounge is more premium economy than first its a perfectly nice place to pass the time before your flight the lounge is very spacious so a lot of seating on offer but there are many times where space is limited as the lounge does get very crowded i love the self service champagne bar they have the food section is a massive let down when i compare to the club lounge the selection of food on offer is far more limited my recent visit was in the morning and to give them their credit the selection was very good and there as a lot on offer other times i have used the lounge at dinner with limited choices they have menus so you are able to place your food order with a member of staff but again very limited options and portions so small you feel hungry after eating one major letdown i find is their bathrooms  when you leave the nice surroundings of the lounge to use the bathroom facilities you really feel where they cut some costs and its a huge let down from the rest of the lounge the lounge is okay not show stopping like what is on offer in some asian airports but a perfectly acceptable place to pass the time,19th September 2015,London Heathrow Airport,7
B Wijesinghe,"one of the nicest, smaller ba lounges",this is an excellent recently refurbished british airways lounge it offers various sitting and dining areas staff friendly and attentive from the lounge reception to the sitting and dining areas the buffet dining area offers nice views of the tarmac with good quality food and wine or other  beverages nearby the sitting areas offer tarmac and terminal b interior views the washrooms were clean computer terminals and free wifi are offered along with magazines and newspapers the lounge was fairly full due to the aircraft being the a380 plus being also used by oneworld  executive club members however there were seats available and it didnt feel overcrowded this is one of the nicest smaller ba lounges that ive used,18th September 2015,Washington Dulles Airport,10
Richard Dalgleish,lounges look so dated and tired,my first visit to the british airways lounges at heathrow t5 and i tried both i dont recall how long t5 has been operational but by the look of the british airways lounges it must be 50 years much of the furniture is very scruffy tables are scratched and carpets look grubby it reminded me of second rate hotels in the 1960s the facilities and food seemed pretty good and plenty of staff to keep it tidy but oh dear the lounges look so dated and tired come on british airways why not smarten themm up a bit,8th September 2015,London Heathrow Airport,5
Barry Halliwell,british airways should do better,british airways has several flights every day from zurich so they ought to be able to set up their own lounge in the aspire lounge the sofas were dirty with multiple stains the food was basic newspaper selection was poor and the wines were cheap british airways should be able to do better than this,8th September 2015,Zurich Airport,3
Andrew Hickling,some refurbishment under way,i have been using the british airways terminal 5 galleries north and south lounges since they opened in 2008 in recent years the lounges have been showing their age and the condition of some of the furnishings are tired and dirty im pleased to say on my last visit that there is some refurbishment under way but still work to do the bathrooms need an upgrade from the basic white fittings the catering has improved but the wifi is hit and miss depends on usage i suppose the lounge needs to be cleaned more often when guests leave as it becomes overrun with plates glasses and food,7th September 2015,London Heathrow Airport,7
Nick Lester-Davis,happy to spend an hour there,the british airways galleries north lounges at heathrow terminal 5 are large but usually very busy on this occasion i arrived at 7am and had a good choice of food and drink a variety of breakfast rolls cereal and fruit with different types of fruit juice and coffee on previous occasions arriving at 10am i have found the food offering poor  hitting a gap between breakfast and lunch with little except stale pastries reading material good except they will not stock the guardian as is wifi happy to spend an hour there,28th August 2015,London Heathrow Airport,7
Jennifer Holford,a rather claustrophobic room with no view,catullo lounge at verona airport a rather claustrophobic room with no view which would seat about 20 people also a separate smoking room only in italy a chiller stocked with a reasonable selection of alcoholic and soft drinks a coffee machine offering espressos a chiller containing oranges and apples and fruit yogurts and a huge plate of unappetising prepacked longlife salami rolls and sponge cakes all the italian newspapers + 1 copy of the london times laptops available but we didnt use them so cant comment on wifi you would probably have more fun using the public areas of the airport than sitting in here although it is quiet if you wanted to work,24th August 2015,Verona Airport,5
Steve Pilibbossian,liked the afternoon tea sandwich selections,galleries lounge at terminal 3 heathrow airport was an excellent lounge with plenty of space it can get quite full inside during afternoon hours nice selection of of food and drink items liked the afternoon tea sandwich selections and my kids loved the hot pasta dishes great service by staff,17th August 2015,London Heathrow Airport,10
M Nal,"an enjoyable, relaxing 2 hours",opposite departure gate receptionist busy speaking to her friend on the phone so we had to wait for her to finish her conversation a modern lounge clean odd shaped lounge food good service good  internet plenty magazines an enjoyable relaxing 2 hours,15th August 2015,Washington Dulles Airport,8
Diana Pincott,first time i appreciated the real benefit of a lounge,i was taken to this british airways lounge after using the aa admiral lounge at d gates a warm welcome and assurance that staff would notify passengers of the whereabouts of the delayed flight to london this is a cavernous lounge with many separate areas including a kind of play room for families on a sunday evening the peace and quiet in the lounge was calming one downside is that in some seating areas it was difficult to find power points to recharge my phone food and beverages average although there was a good choice limited reading material wifi excellent staff super friendly and kept us informed of the delayed flight this was the first time i appreciated the real benefit of a lounge when the flight was delayed by 3 hours stretching the layover to 8 hours,15th August 2015,Miami Airport,9
Mike Bullen,i will let you draw your own conclusion,usually very good but when arriving it was being used by cathay pacific and i was told to go away and come back sometime later as it was quite full  i will let you draw your own conclusion,6th August 2015,Chicago O'Hare Airport,4
D Preston,less crowded and cleaner than usual,less crowded and cleaner than usual but still had to clear away other peoples rubbish cups sauces etc to be able to sit somewhere i cant believe that the catering has continued to decline but it has didnt spend much time in the lounge as british airways believe that it is acceptable to have business class passengers queuing for bag drops and check ins for over 45 minutes,3rd August 2015,London Heathrow Airport,4
C Lindsay,all very tired and uncomfortable,very poor breakfast selection dried up rolls to the point of hard no other selection available had to ask for toast all very tired and uncomfortable,2nd August 2015,London Heathrow Airport,2
G Fedele,british airways is not taking care of the issue,an update of a previous review from another customer three months after a fire and no reciprocal lounge facilities or vouchers for food and drink i asked at the checkin counter how is it possible that british airways is not taking care of this issue the person in the counter was very aggressive: alitalia will not let us use their lounges  and the other lounge is already too busy the point is that british airways is not taking care of the issue,24th July 2015,Rome Fiumicino Airport,1
M Hawthorn,the only downside was the lack of power facilities,i wish british airways operated lounges that were more like this third party facility the staff here in vienna was polite welcoming explained all the lounge facilities to us and was generally interested in customer service sadly that is something that british airways has lost in the past 10 years this lounge is located before immigration and the gate security so you need to allow 1525 minutes to board subject to time of day great range of food and beverages in the lounge nice seating areas and the only downside was the lack of power facilities for laptop and recharging my phone,22nd July 2015,Vienna Airport,7
M Nal,it's not really first class,its not really first class should be advertised as business class food ok  plenty of seating plenty of magazines but way overcrowded when we visited but first class lounge i dont think so i tried the turkish airlines business lounge in istanbul   that should be advertised as first  having said that its getting crowded in their lounge as well now,19th July 2015,London Heathrow Airport,6
Bob Motto,starting to look a little dated and tired now,the british airways lounges at terminal 5 in chicago are starting to look a little dated and tired now there are two lounges  one small first class lounge overlooking the tarmac and the other larger lounge opposite next to the food court the first class lounge is small and cramped with very little in the offering of food and drinks it is also looking dirty too with plates and glasses taking a lot of time to be removed too the lounge although has nice views over the tarmac did get too busy so i went across to the other terraces lounge here they offer preflight dining as well as seating areas and again very limited offerings of food and drinks this lounge does look cleaner but feels very dark as there is no natural light again the lounge is small but soon got busy with passengers as the departure time drew nearer,17th July 2015,Chicago O'Hare Airport,5
R Gonzaga,spacious and impressive offerings,i used this lounge as a customer with qatar airways spacious and impressive offerings of alcohol but thats about it food on offer in the morning was abysmal a few dry muffins cereal yoghurt and sliced cold turkey no showers to avail of it needs a better selection of food preferably some warm offerings otherwise it was adequate,12th July 2015,Philadelphia Airport,4
H Kerrigan,british airways is enticing customers to use other airlines,it is disgraceful that british airways treats its club europe and executive cub members with such disdain and contempt two months after a fire and no reciprocal lounge facilities or vouchers for food and drink british airways is enticing customers to use other airlines,7th July 2015,Rome Fiumicino Airport,1
James King,this lounge is in serious need of a makeover,given heathrow is bas home base you would expect their lounge facilities to be of good order unfortunately that is not the case as my recent visit outward journey highlighted a number of failings notably quality of food overcrowding and general ambiance this lounge is in serious need of a makeover and a new catering company needs to be introduced on my inbound journey i decided not to use the lounge and chose instead the general t5 facilities which were of a much better standard albeit not free,23rd June 2015,London Heathrow Airport,1
Michael Davies,the lounge is spacious,this lounge is shared between many airlines airside at the international terminal the lounge is spacious with a few secluded quiet areas overlooking the airfield a friendly barman with a full choice of complimentary beers wines and spirits nice choice of soup sandwiches cheese cakes etc at self service buffet but no hot meals the lounge staff came round with mini cheesecakes and were happy to take your order for drinks there are showers but i didnt use them relatively short walk to the departure gates,22nd June 2015,Atlanta Hartsfield Airport,9
Mark Schultz,"comfortable, clean, nice showers and restrooms",im a fairly frequent visitor to this lounge it is very busy and you might want to go to the lounge on the south side or the terminal 5b lounge however i find north side comfortable clean nice showers and restrooms the liquor is quite good and is free food is nice quite a decent breakfast light snacks the rest of the day a good selection of magazines and speedy wifi,18th June 2015,London Heathrow Airport,9
F Chambers,it wasn't too crowded when i visited,the old ba lounge at schipol was small cramped had a poor selection of food and the staff were indifferent at best and unfriendly at worst  the new lounge has managed to retain all of those things with an added 15 minute walk through a temporary tunnel from the terminal building the only positive things i can say about this place is that the air conditioning works and it wasnt too crowded when i visited  i have visited ba and partner lounges worldwide  this one is the worst by miles not recommended obviously,12th June 2015,Amsterdam Schiphol Airport,2
Alan Lacey,new but cramped and uninviting,new but cramped and uninviting no pcs so if you dont have a laptop its a 15 minute trek back though the airport to find the internet facility no information boards and staff offer no information unless asked no update announcements i arrived for a 650 pm flight and it was already known that there was at least a three hour delay but this was not mentioned  the aircraft was still on the ground at ams and had to do a rotation to gatwick and back before our flight  the flight eventually took off at midnight  during that time there were no announcements no apology and passengers were sharing information they gleaned by questioning the staff at the desk even when they called the flight at 1045  presumably to turf us out of the lounge  after a 10 minute walk to the gate we found the aircraft was still disembarking no offer of food vouchers during the 5 hour delay and the small plate of sandwiches soon disappeared around 7 pm leaving us with crisps or crackers really not good enough and should be scored zero for comfort food and service,5th June 2015,Amsterdam Schiphol Airport,1
D Stead,a little difficult to find,a little difficult to find turn left after security past london news aka wh smith follow signs and it is on the fourth floor although that isnt very clear nice lounge large and pleasantly decorated with comfortable chairs and good position for plane spotters we arrived around 1pm there was a small but nice fresh salad bar soup various sandwiches and fruit nuts crisps all constantly replenished the only sweet things were biscuits next to the coffee as we were leaving at 6pm it seemed hot food was being served a good selection of wines spirits soft drinks juices tea coffee you need to ask for champagne and i did a lot staffs were all very pleasant & helpful if you require power points the only ones i could see were at the back of the lounge in the corner opposite the wines & spirits personally i think there should have been some more dotted about as most people require them,3rd June 2015,London Gatwick Airport,4
A Macarthur,didn't want to leave to be honest,comfortable seating good wifi ok food and snacks parked ourselves in the little nook with the 18 year old glenlivet didnt want to leave to be honest,31st May 2015,Glasgow Prestwick Airport,4
C Hamilton,lately every thing has gone downhill,after reading all the reviews i wonder does ba actually have anyone reading these complaints have they ever responded we travel to the usa often and when we do we use the lounges lately every thing has gone downhill in amsterdam schiphol selection was sparse heathrow too crowded people laying on couches asleep taking up seating space food selection was boring,29th May 2015,Amsterdam Schiphol Airport,3
M Cadger,very large with plenty of seating,first the good points  its very large with plenty of seating and staff were friendly plus you can pay at door if not on ticket that includes entry or have required membership level has lager on draught which you never see in uk lounges on the poor side  if you are used to ba lounges in uk do not expect anything like galleries for food and drink options  limited to small rolls with cheese or chorizo crisps or small pastries basic stock of spirits and limited wines wifi signal was not great but thats not unusual in smaller airports,29th May 2015,Alicante Airport,2
D Chamberlain,it was even worse than before,very poor this is the 5th time i have been to the lounge and against expectations it was even worse than before overcrowded hot poor food lame selection of drinks inconsistent internet and a location which is remarkably inconvenient this is lounge to miss staff what staff noone showed an interest and little action to clean refresh the food or make us feel welcome quite why ba continue with it i am not sure  i can only assume that none of their staff have used it,29th May 2015,Lisbon Airport,2
D Chamberlain,relaxed and welcoming,very good space excellent staff good views range of drinks disappointing and predictable food the t3 lounge is very good  a wide range of different sitting spaces great views of the runways and aircraft delightful staff and a very strong range of drinks relaxed and welcoming the minus is that the food offering has remained the same for at least 2 years and is modest in its range and quality  disappointing,29th May 2015,London Heathrow Airport,4
J Clark,quite a tight little lounge however adequate,quite a tight little lounge however adequate i was the first in for the 920 flight to lhr nice selection of breakfast foods and drink papers and magazines all in order the wifi was a bit slow and dropped quite frequently interestingly there were quite a few birds yes birds in the lounge that made it feel quite exotic obviously not a feature but watching the sing and fly around my head did make me smile the lounge was between gates 22 and 26 and our gate was 11 which did mean a bit of a schlep to the gate,29th May 2015,Dubai Airport,4
C Moreira,showers with simple products and poor hygiene,british airways both in first class as the executive uses the new t3 in sao paulo business lounge tam the lounge has modest buffett slow wi fi showers with simple products and poor hygiene in both bathrooms which was causing me dissatisfaction totally unacceptable traveling first class and across precarious hygiene,9th May 2015,Sao Paulo Guarulhos Airport,2
William Delaney,absolute disgrace,absolute disgrace ba should be ashamed but obviously are not there are enough negative reviews online  but it has to be experienced to be believed filthy torn upholstery food selection that resembles a self service cafeteria in a 1970s service station on the motorway i was sent a survey by text from ba as i walked out of the lounge after being there for 5 minutes i let them have my thoughts and they did call me they assured me the lounge was going to have a multi million pound refurbishment  great but it doesnt help me and as i pointed out why is the lounge allowed to fall into this state of disrepair,9th May 2015,London Heathrow Airport,1
C Moreira,showers with simple products and poor hygiene,british airways both in first class as the executive uses the new t3 in sao paulo business lounge tam the lounge has modest buffett slow wi fi showers with simple products and poor hygiene in both bathrooms which was causing me dissatisfaction totally unacceptable traveling first class and across precarious hygiene,9th May 2015,Sao Paulo Guarulhos Airport,2
Christopher Slater-Walker,this is nothing like a good lounge,theres nothing like a good lounge before your flight to make things easier  and this is nothing like a good lounge it is the worst lounge ive ever used having said that it isnt quite as bad as some other reviews across the internet might lead you to believe we arrived about 90 minutes before our british airways flight from bordeaux to london gatwick and the whole club europe checkin process was very friendly and smooth we were issue with an invitation to the lounge; you then have to go through security no fast track of course and present your invitation to the cafe news on the airside they will then give you the code for the lounges front door you have to enter this yourself; the lounge has no staff at all however the member of staff at the cafe was very pleasant there is a vending machine serving hot drinks which i found acceptable but be aware that the default choice adds sugar to everything which i did not want there are a couple of local wines in a cooler and various spirits with soft drinks and mixers in the cooler a few food items are available; in our case since we had a morning flight there were some quite fresh croissants and pains au chocolat which were actually quite good the seating is rather old but not uncomfortable the lounge itself was mercifully quiet which i suspect is usually the case for what is most probably a mainly holiday destination some of the tables could have used a quick clean but nothing serious here so all in all if you can get a good price for your business class seat it may be worth it for the additional preflight comfort but anything like standard business class prices are definitely more than its worth paying for this lounge,9th May 2015,Bordeaux Airport,2
B Motto,appears to have less seats than the old lounge,i visited the new british airways lounge yesterday after a 25 minute treck across the roof tops of the terminal building exposed to the elements do bare in mind that the 25 minute treck is just to get the new lounge you will need to add at least 40 minutes to get to the departure gates & through security the new lounge appears to have less seats than the old lounge it is narrow & cramped & you still need to leave the lounge to use washroom facilities the refreshments are very poor nothing as improved in this area so still a very poor selection of drinks & food & snacks the furnishings are trendy as opposed to being comfortable & functional as well as being cramped with little privacy if you want to have your own space at the moment i would not entertain visiting the british airways lounge until the building work has been completed towards the end of 2015 as it is not worth the effort it takes to reach the lounge after check in or leave the lounge to get to the departure gate once again british airways have missed the boat on redesigning something which could be wonderful for their passengers,9th May 2015,Amsterdam Schiphol Airport,2
A Patterson,hostess was pleasant,read some poor reviews but we had a few hours to wait so thought we should at least try the lounge the hostess was pleasant and promptly checked us in and provided a quick overview lots of seating was available so we picked a couple of seats with power outlet the seats were well maintained clean and comfortable a couple of ladies came around frequently to clear dishes and we found them very pleasant food was a nice potato and leek soup and sandwiches sandwiches werent the best good selection of refreshments would happily return,9th May 2015,Edinburgh Airport,4
C Perree,dirty plates cups and rubbish left on most tables,i use this lounge five times a year today i arrived from a 12 hour flight and had a four hour stop over before my next flight i arrived in the lounge at 845am  it was heaving no comfortable chairs to sit in and relax after a long flight dirty plates cups and rubbish left on most tables i went to the ladies loo which had a long queue but very clean  and for a shower which i did not have to wait for which were clean and very good sadly the lounges area seems to be full to bursting on most occasions when i visit  it used to be a quiet relaxing lounge but on two occasions i have left and used my priority pass for the quieter no1 lounge downstairs ba really need to enlarge this lounge as it really doesnt cope with the volume of passengers using it anymore the staff are always helpful but there does need to be more of them in busy periods the food is of very good quality and choice much better than on the flights,9th May 2015,London Gatwick Airport,4
Alan Lacey,quite the worst lounge i've seen anywhere,a shocker  quite the worst lounge ive seen anywhere ba should be ashamed to have its name outside the ambience of a suburban bus station no food youd actually want to eat limited drinks options curt reception staff and grotty toilet the harrods cafe just outside is a better option,2nd April 2015,Lisbon Airport,1
A Patterson,received an excellent welcome,on entering the lounge we received an excellent welcome from a very pleasant hostess who checked us in promptly heading to the seating area we were again welcomed by another staff member who escorted us to a couple of seats by the window she took the time to explain the lounge layout and brought us some water throughout our stay the staff were extremely pleasant and attentive clearing glasses promptly and refilling water glasses the lounge was clean and seats comfortable and in good condition electrical sockets were conveniently located for access to power food was soup and a good selection of sandwiches cant comment on quality as we didnt partake a good selection of tea coffee beer wines and spirits were available,2nd April 2015,Vancouver Airport,5
Michael Davies,comfortable and ample seating,nice lounge in t3 comfortable and ample seating beer available on draft which is a nice touch wine spirits and soft drinks wifi speed good enough for emails and web browsing and easy to log on sandwiches light snacks and soup only downside is that there is no view please be aware that to get from the lounge to the g gates involve getting on the shuttle train  so allow enough time they make announcements when the flight is ready for boarding i can confirm that the lounge does have its own toilets,24th March 2015,Rome Fiumicino Airport,4
Stephen Guerrier,this lounge is an absolute disgrace,this lounge is an absolute disgrace lounge filthy toilets disgusting and food terrible baked beans curry and carrot soup what a cliche there is some really serious work to be done here,1st March 2015,London Heathrow Airport,2
P Spencer,lounge is a disgrace for a national carrier,this lounge is a disgrace for a national carrier at its home hub the lounge is way overdue for a refurbishment  the chairs are old tatty and falling apart the food is plentiful but poor and self service  so breathed and coughed over for hours,21st February 2015,London Heathrow Airport,1
Ryan Lester,just awful. way too many people,just awful way too many people food is terrible i tried to have a beer but all of them were too warm plus there isnt much of a variety much heineken tiger or nothing wifi is slower than a 1990s dial up internet line i travel quite often but even though im a silver member i rarely use the lounges anymore i head elsewhere,7th February 2015,London Heathrow Airport,1
B Harrison,dreadful new lounge,dreadful new lounge there is a 50 minute walk to the gate via a temporary roof walkway till april i was told by the time you have trekked over the roof of the airport it is not worth it the lounge is small sparse cramped few facilities even the toilets are outside only breakfast items were small cartons of corn flakes no milk provided thanks ba awful lounge not worth the visit,4th February 2015,Amsterdam Schiphol Airport,1
C O'Brien,staff that begrudgingly go about their jobs,way too busy staff that begrudgingly go about their jobs beginning to think that my membership of the executive club is now far less appealing than it used to be i have travelled extensively on business and generally have a far better experience with emirates or singapore airlines even the lufthansa lounge at heathrow has a better ambience ba need to take the time to give this place a much needed uplift if customers paying premium fares help ba survive more needs to be done to ensure they dont go looking for the premium service they pay for elsewhere,30th January 2015,London Heathrow Airport,1
Chris Haslam,standards have continued to drop every time i visit,lounge was dirty very dirty when i visited at 0915 on 27th january staff are beyond rude and standards have continued to drop every time i visit have they had a pay cut as they appear seriously unhappy and make an effort to be difficult and offhand to us paying customers sadly this is something i have noted onboard as well during last 2 long haul flights to chengdu and back product is well below asian airline competitors and lufthansa and air france are ahead of ba in the business class game amenities catering and service onboard club world are a joke and i guess the only satisfied travellers are those who have never flown other airlines apart from ba,30th January 2015,London Heathrow Airport,1
R Buxton,cramped with uncomfortable chairs,all of the ambience and comfort of a hospital waiting room cramped with uncomfortable chairs arranged in squares with very few tables for plates and glasses poor selection of unappetizing food no showers no flight information displays very difficult to access with wheelchair  lifts are behind padlocked fire doors the most disappointing lounge i have visited,27th January 2015,Rio De Janeiro Airport,1
D Moore,loud and messy chaos,busy busy busy more people in the lounge than at the bars and restaurants outside nowhere to sit for the first hour then table sharing and bag stacking for the rest of my stay staff couldnt keep up with the mess and catering demand aside from the 12hr delay the ba lounges have gone downhill fast loud and messy chaos,2nd January 2015,New York JFK Airport,3
S Bain,ba - why do you bother with this lounge,awful no still bottled water  have to use a machine linked to the mains only a hot soup type thing and no other hot food dried sandwiches horrible coffee ba  why do you bother with this lounge,2nd January 2015,Calgary Airport,2
R Whitehouse,the worst airport lounge i have experienced,i visit toulouse nearly every week and this is the worst airport lounge i have experienced food selection poor drinks even worse which is unbelievable given were in france  wheres the wine interior decor is horrendous the yellow red and green faux leather seats make it look like a wacky warehouse its a shared lounge too and therefore way too cramped ba nearly always has a full flight whenever i travel to tls so i would expect them to help push for a lounge that its business travellers deserve,2nd January 2015,Toulouse Airport,2
D Chamberlain,disappointingly cramped crowded and bare,disappointingly cramped crowded and bare this was a surprisingly disappointing lounge with a paucity of refreshments and even these were in short supply given the significance of schipol i was a little taken aback by the limited facilities no loos inside the lounge for example the staff were courteous but little else shone,2nd January 2015,Amsterdam Schiphol Airport,3
D Chamberlain,helpful staff good refreshments in terms of quality and variety,a good experience helpful staff good refreshments in terms of quality and variety the lounge itself disappoints a little as it has no bathroom facilities inside it and it is a rather plain room but more than adequate wifi was good and i suspect much could be improved by altering the seating plan and providing washrooms great location next to security and a pleasant enough stay,2nd January 2015,Athens Airport,4
Guy Senior,great 'outdoor' terrace overlooking the concourse,a totally different experience from the usual ba self service arrangement which can be great or not so great everything is served from cooked to order meals in private booths to drinks at the bar generally of top class hotel fit out and a great outdoor terrace overlooking the concourse get there early to fully enjoy it the only annoying matter was the irritating background music switch it off,2nd January 2015,London Heathrow Airport,5
M Araujo,i liked its quietness,i liked its quietness its cosy with comfortable sofas food options are limited but just enough for my needs : rice pasta chicken curry meatballs cheese salad bar snacks wine selection is small and champagne is selfservice the staff are attentive at reception and in the lounge they come around with hot canapes,2nd January 2015,Singapore Changi Airport,5
Jennifer Holford,the atmosphere was quiet,my partner and i spent a relaxing couple of hours in this lounge the atmosphere was quiet big comfy sofas and chairs a good range of soft drinks beverages and alcoholic drinks available as well as fresh fruit and yogurts in the fridges canapes sandwiches nuts and cakes we didnt need wifi so cant comment on whether it was available previous reviewers have stated that the lounge doesnt have its own loos not true it does but we did not see any showers available,2nd January 2015,Rome Fiumicino Airport,3
T Stead,pretty poor for a first lounge,pretty poor for a first lounge ive used plenty of the major airlines first class lounges: qantas cathay emirates american etc: and considering this is the first class lounge at bas flagship terminal; i was pretty unimpressed firstly the breakfast was awful the scrambled eggs on the buffet were more milk than egg the coffee was out of a machine: no trained barista and the menu that was available was very limited i also had to queue for the toilets: not a shower just the toilets maybe this can happen in the business lounge but you just wouldnt expect this in first then its the little things i sat in quite a comfy seat with decent views but i could not charge my phone as there was no usb amenities also they had international power outlets but not australiannew zealand and i had already packed my adapters in my checked baggage these are the type of small items that with a little thought can make a big difference to ones comfort whilst travelling sorry ba but youve failed id look at what cathay pacific have done in hong kong and qantas in sydney i love the qantas first lounge in sydney but cathays first class lounge in hong kong is spectacular,19th November 2014,London Heathrow Airport,1
